cell.line,time.pt,drug,compound,unlabeled,labeled,,sample
common,DMEM,DMEM,threonine,314406.06,11.76,,DMEM_03
common,DMEM,DMEM,threonine,380685.34,6.04,,DMEM_02
common,DMEM,DMEM,threonine,276784.84,7.78,,DMEM_01
common,blank,blank,threonine,12.98,5.61,,Blank_04
common,blank,blank,threonine,18.46,63.95,,Blank_03
common,blank,blank,threonine,164.87,14.22,,Blank_02
common,blank,blank,threonine,8.07,11.08,,Blank_01
common,40% 13C DMEM,40% 13C DMEM,threonine,843.98,178455.5,,40pLabeled_04
common,40% 13C DMEM,40% 13C DMEM,threonine,977.51,156895.42,,40pLabeled_03
common,40% 13C DMEM,40% 13C DMEM,threonine,1498.91,159465.34,,40pLabeled_02
common,40% 13C DMEM,40% 13C DMEM,threonine,1320.22,149091.88,,40pLabeled_01
MEF with Ras,24,Torin,tyrosine,6602.48,71094.93,,Ras_Torin_24h_04
MEF with Ras,24,Torin,tyrosine,3933.12,64846.91,,Ras_Torin_24h_03
MEF with Ras,24,Torin,tyrosine,4931.42,62394.97,,Ras_Torin_24h_02
MEF with Ras,24,Torin,tyrosine,3012.31,50288.61,,Ras_Torin_24h_01
MEF with Ras,16,Torin,tyrosine,2725.65,66904.51,,Ras_Torin_16h_03
MEF with Ras,16,Torin,tyrosine,1099.43,32260.08,,Ras_Torin_16h_02
MEF with Ras,16,Torin,tyrosine,1344,19543.23,,Ras_Torin_16h_01
MEF with Ras,24,PMA,tyrosine,3668.27,66466.46,,Ras_PMA_24h_04
MEF with Ras,24,PMA,tyrosine,2675.32,56767.23,,Ras_PMA_24h_03
MEF with Ras,24,PMA,tyrosine,2612.68,47302.79,,Ras_PMA_24h_02
MEF with Ras,24,PMA,tyrosine,3264.67,52777.52,,Ras_PMA_24h_01
MEF with Ras,16,PMA,tyrosine,3235.42,70714.99,,Ras_PMA_16h_03
MEF with Ras,16,PMA,tyrosine,2254.95,56134.96,,Ras_PMA_16h_02
MEF with Ras,16,PMA,tyrosine,2656.5,45537.47,,Ras_PMA_16h_01
MEF with Ras,24,PDBU,tyrosine,3162.83,44261.02,,Ras_PDBU_24h_03
MEF with Ras,24,PDBU,tyrosine,3392.72,46053.57,,Ras_PDBU_24h_02
MEF with Ras,24,PDBU,tyrosine,2543.67,29833.34,,Ras_PDBU_24h_01
MEF with Ras,16,PDBU,tyrosine,5140.43,63092.55,,Ras_PDBU_16h_03
MEF with Ras,16,PDBU,tyrosine,2233.78,33970.14,,Ras_PDBU_16h_02
MEF with Ras,16,PDBU,tyrosine,1903.63,35870.06,,Ras_PDBU_16h_01
MEF with Ras,24,No Trx,tyrosine,4558.24,54398.53,,Ras_NoTrx_24h_04
MEF with Ras,24,No Trx,tyrosine,4307.98,67149.41,,Ras_NoTrx_24h_03
MEF with Ras,24,No Trx,tyrosine,2893.65,48093.53,,Ras_NoTrx_24h_02
MEF with Ras,24,No Trx,tyrosine,5044.66,58887.19,,Ras_NoTrx_24h_01
MEF with Ras,16,No Trx,tyrosine,3321.7,50154.55,,Ras_NoTrx_16h_03
MEF with Ras,16,No Trx,tyrosine,2146.19,34900.5,,Ras_NoTrx_16h_02
MEF with Ras,16,No Trx,tyrosine,3543.73,64942.8,,Ras_NoTrx_16h_01
MEF no Ras,24,Torin,tyrosine,3141.95,58105.86,,NoRas_Torin_24h_04
MEF no Ras,24,Torin,tyrosine,4394.23,63710.31,,NoRas_Torin_24h_03
MEF no Ras,24,Torin,tyrosine,2956.74,51590.93,,NoRas_Torin_24h_02
MEF no Ras,24,Torin,tyrosine,2746.22,46551.41,,NoRas_Torin_24h_01
MEF no Ras,16,Torin,tyrosine,3165.64,75538.1,,NoRas_Torin_16h_03
MEF no Ras,16,Torin,tyrosine,2625.69,41527.31,,NoRas_Torin_16h_02
MEF no Ras,16,Torin,tyrosine,1859.12,44888.38,,NoRas_Torin_16h_01
MEF no Ras,24,PMA,tyrosine,2301.42,47345.27,,NoRas_PMA_24h_04
MEF no Ras,24,PMA,tyrosine,4108.61,54334.19,,NoRas_PMA_24h_03
MEF no Ras,24,PMA,tyrosine,3858.44,64634.47,,NoRas_PMA_24h_02
MEF no Ras,24,PMA,tyrosine,3371.02,55197.8,,NoRas_PMA_24h_01
MEF no Ras,16,PMA,tyrosine,2508.76,60982.29,,NoRas_PMA_16h_03
MEF no Ras,16,PMA,tyrosine,2343.97,63285.84,,NoRas_PMA_16h_02
MEF no Ras,16,PMA,tyrosine,2671.3,48466.02,,NoRas_PMA_16h_01
MEF no Ras,24,PDBU,tyrosine,3094.1,66833.02,,NoRas_PDBU_24h_04
MEF no Ras,24,PDBU,tyrosine,3232.35,72025,,NoRas_PDBU_24h_03
MEF no Ras,24,PDBU,tyrosine,2493.72,50324.62,,NoRas_PDBU_24h_02
MEF no Ras,24,PDBU,tyrosine,2078.99,53060.04,,NoRas_PDBU_24h_01
MEF no Ras,16,PDBU,tyrosine,3652.51,73896.6,,NoRas_PDBU_16h_03
MEF no Ras,16,PDBU,tyrosine,2359.18,65515.75,,NoRas_PDBU_16h_02
MEF no Ras,16,PDBU,tyrosine,1312.43,56573.3,,NoRas_PDBU_16h_01
MEF no Ras,24,No Trx,tyrosine,3562.58,86348.21,,NoRas_NoTrx_24h_04
MEF no Ras,24,No Trx,tyrosine,2832.05,87586.02,,NoRas_NoTrx_24h_03
MEF no Ras,24,No Trx,tyrosine,3123.79,55822.56,,NoRas_NoTrx_24h_02
